filename,date,locn,drop,lat,long
33RR20180918_00019_00008_ct1.csv,20180918,00019,00008,17.49992,-152.00026
33RR20180918_00019_00011_ct1.csv,20180918,00019,00011,17.50002,-152.00026
33RR20180918_00019_00012_ct1.csv,20180918,00019,00012,17.50004,-152.0003
33RR20180918_00020_00002_ct1.csv,20180918,00020,00002,14.25156,-152.00026
33RR20180918_00020_00003_ct1.csv,20180918,00020,00003,14.25162,-152.00018
33RR20180918_00021_00002_ct1.csv,20180918,00021,00002,11.0,-152.00044
33RR20180918_00021_00003_ct1.csv,20180918,00021,00003,10.99992,-152.00044
33RR20180918_00021_00005_ct1.csv,20180918,00021,00005,11.00008,-152.00044
33RR20180918_00021_00006_ct1.csv,20180918,00021,00006,11.00006,-152.00042
33RR20180918_00021_00008_ct1.csv,20180918,00021,00008,11.00022,-152.00034
33RR20180918_00021_00009_ct1.csv,20180918,00021,00009,11.00022,-152.00016
33RR20180918_00021_00011_ct1.csv,20180918,00021,00011,11.00008,-152.00022
33RR20180918_00022_00002_ct1.csv,20180918,00022,00002,9.2489,-151.99924
33RR20180918_00022_00003_ct1.csv,20180918,00022,00003,9.24718,-151.99646
33RR20180918_00023_00002_ct1.csv,20180918,00023,00002,7.50038,-151.99756
33RR20180918_00023_00004_ct1.csv,20180918,00023,00004,7.50014,-152.01464
33RR20180918_00023_00005_ct1.csv,20180918,00023,00005,7.49482,-152.01008
33RR20180918_00023_00006_ct1.csv,20180918,00023,00006,7.50472,-152.00644
33RR20180918_00023_00009_ct1.csv,20180918,00023,00009,7.4995,-152.0081
33RR20180918_00023_00010_ct1.csv,20180918,00023,00010,7.49948,-152.0014
33RR20180918_00023_00012_ct1.csv,20180918,00023,00012,7.5023,-151.998
33RR20180918_00023_00013_ct1.csv,20180918,00023,00013,7.50034,-151.9895
33RR20180918_00025_00002_ct1.csv,20180918,00025,00002,5.00024,-151.99918
33RR20180918_00025_00003_ct1.csv,20180918,00025,00003,5.00026,-151.99544
33RR20180918_00025_00005_ct1.csv,20180918,00025,00005,5.00022,-152.00018
33RR20180918_00025_00006_ct1.csv,20180918,00025,00006,4.9995,-151.99494
33RR20180918_00025_00008_ct1.csv,20180918,00025,00008,5.00022,-151.99782
33RR20180918_00025_00009_ct1.csv,20180918,00025,00009,5.00086,-151.9981
33RR20180918_00025_00011_ct1.csv,20180918,00025,00011,5.0002,-152.00024
33RR20180918_00027_00002_ct1.csv,20180918,00027,00002,2.50224,-152.00564
33RR20180918_00027_00003_ct1.csv,20180918,00027,00003,2.5067,-152.01532
33RR20180918_00027_00005_ct1.csv,20180918,00027,00005,2.49984,-152.00078
33RR20180918_00027_00006_ct1.csv,20180918,00027,00006,2.50238,-152.00576
33RR20180918_00027_00008_ct1.csv,20180918,00027,00008,2.49976,-151.99976
