CTD,20201209CCHSIO
# DATE and TIME:  Merged corrected DATE and TIME headers into CTD files
# References:
#     Cruise report available at https://cchdo.ucsd.edu/cruise/33RR20180918
# CCHDO Citation Information
#     Please cite data downloaded from CCHDO as: [Data providers of the parameter(s) used]. [Year of file access]. [CTD/Bottle] data from cruise [expocode], [format version used]. Accessed from CCHDO [url of cruise data page]. Access date [date of download]. [Applicable CCHDO cruise DOI if provided].
#     Information on the scientists who provided the different parameters can be found in the cruise report. Additionally, for US GO-SHIP cruises, this information is usually in the comments section in the text headers of the Exchange bottle files.
#     Users are also encouraged to acknowledge the funding program that supported the data collection in their publication. For US GO-SHIP data this is the NSF/NOAA funded U.S Repeat Hydrography Program.
#     Please see https://cchdo.ucsd.edu/citation or https://cchdo.ucsd.edu for details and examples
# CTD,20200313ODFSIO - Previous Time Stamp. DATE and TIME corrected
# CTD,20190518CCHSIO - Previous Time Stamp. Previous Comments Below
#     SHIP: Roger Revelle
#     Cruise: GEOTRACES, RR1815
#     DATES: 20180918 to 20181125
#     Chief Scientist: Greg Cutter
#     EVENT_CODE = unknown
#     DEPTH_TYPE = unknown
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     STNNBR and CASTNO: removed leading 0s from values to match bottle file.
#     CASTNO: header values for CASTNO were changed to match the file name for the following originator filenames: 00411_ct1.csv,00810_ct1.csv,00812_ct1.csv,00813_ct1.csv,01210_ct1.csv,01212_ct1.csv,01410_ct1.csv,01412_ct1.csv,01413_ct1.csv,01911_ct1.csv,01912_ct1.csv,02111_ct1.csv,02310_ct1.csv,02312_ct1.csv,02313_ct1.csv,02511_ct1.csv,02711_ct1.csv,02910_ct1.csv,02912_ct1.csv,02913_ct1.csv,03111_ct1.csv,03311_ct1.csv,03510_ct1.csv,03512_ct1.csv,03513_ct1.csv,03711_ct1.csv,03910_ct1.csv,03912_ct1.csv
#     Removed erroneous last commas from headers in original file 00702_ct1.csv
#     Original file name: 00403_ct1.csv
#     CTD,20190107ODFSIO - Previous Time Stamp.
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918
SECT_ID = rr1815
STNNBR = 4
CASTNO = 3
DATE = 20180928
TIME = 2124
LATITUDE = 54.660220
LONGITUDE = -155.170140
DEPTH =  5716
INSTRUMENT_ID = 1281
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
       0.0,2,   12.3709,2,   32.4255,2,  268.1242,2,    4.4773,1,    0.0813,1,    1.4664,1
       2.0,2,   12.3704,2,   32.4258,2,  268.1347,2,    4.4739,1,    0.0813,1,    1.4655,1
       4.0,2,   12.3697,2,    32.426,2,  268.2832,2,    4.4762,1,     0.082,1,    1.4654,1
       6.0,2,   12.3689,2,   32.4262,2,  268.2707,2,    4.4783,1,    0.0823,1,    1.4649,1
       8.0,2,   12.3754,2,   32.4257,2,  268.0708,2,    4.4735,1,    0.0831,1,    1.4649,1
      10.0,2,   12.3762,2,   32.4256,2,  267.7518,2,    4.4774,1,    0.0837,1,    1.4656,1
      12.0,2,   12.3776,2,   32.4254,2,  267.9351,2,    4.4764,1,    0.0848,1,    1.4651,1
      14.0,2,   12.3739,2,   32.4258,2,   268.115,2,    4.4786,1,    0.0841,1,    1.4645,1
      16.0,2,   12.3676,2,   32.4262,2,  268.4043,2,    4.4793,1,    0.0871,1,     1.464,1
      18.0,2,   12.3774,2,   32.4255,2,  268.1112,2,    4.4783,1,    0.0882,1,    1.4634,1
      20.0,2,   12.3786,2,   32.4254,2,  268.2913,2,    4.4787,1,    0.0862,1,    1.4626,1
      22.0,2,    12.371,2,    32.426,2,  268.5041,2,     4.478,1,    0.0862,1,    1.4623,1
      24.0,2,   12.3655,2,   32.4261,2,  268.5214,2,    4.4797,1,    0.0876,1,    1.4618,1
      26.0,2,   12.3496,2,   32.4271,2,  268.4812,2,     4.479,1,    0.0874,1,    1.4615,1
      28.0,2,   12.3577,2,   32.4268,2,  268.4177,2,    4.4795,1,     0.087,1,    1.4611,1
      30.0,2,   12.3536,2,   32.4269,2,  268.6564,2,    4.4802,1,    0.0871,1,    1.4606,1
      32.0,2,   12.3252,2,   32.4291,2,   269.103,2,    4.4818,1,    0.0878,1,      1.46,1
      34.0,2,   12.3302,2,   32.4287,2,  269.1923,2,    4.4814,1,    0.0893,1,    1.4596,1
      36.0,2,   12.3073,2,   32.4301,2,  269.3101,2,     4.483,1,    0.0881,1,    1.4594,1
      38.0,2,    12.248,2,    32.433,2,  270.0724,2,    4.4878,1,     0.087,1,     1.459,1
      40.0,2,    11.771,2,   32.4717,2,  273.7809,2,    4.5208,1,    0.0762,1,    1.4584,1
      42.0,2,   10.9005,2,   32.5004,2,  281.4942,2,    4.5278,1,    0.0727,1,     1.458,1
      44.0,2,    9.1466,2,   32.6559,2,  283.6248,2,    4.5773,1,    0.0589,1,    1.4581,1
      46.0,2,    8.5099,2,   32.6586,2,   290.028,2,    4.5879,1,    0.0589,1,    1.4582,1
      48.0,2,    7.5078,2,   32.7174,2,  289.3976,2,    4.6072,1,    0.0578,1,    1.4586,1
      50.0,2,    7.3969,2,   32.7158,2,  291.2215,2,    4.6085,1,    0.0559,1,    1.4606,1
      52.0,2,    7.1841,2,   32.7207,2,  294.2728,2,    4.6105,1,    0.0543,1,    1.4635,1
      54.0,2,    6.6488,2,    32.743,2,  295.8419,2,    4.6141,1,    0.0514,1,    1.4677,1
      56.0,2,    6.2452,2,   32.7684,2,  294.2606,2,    4.6235,1,    0.0484,1,    1.4694,1
