CTD,20201209CCHSIO
# DATE and TIME:  Merged corrected DATE and TIME headers into CTD files
# References:
#     Cruise report available at https://cchdo.ucsd.edu/cruise/33RR20180918
# CCHDO Citation Information
#     Please cite data downloaded from CCHDO as: [Data providers of the parameter(s) used]. [Year of file access]. [CTD/Bottle] data from cruise [expocode], [format version used]. Accessed from CCHDO [url of cruise data page]. Access date [date of download]. [Applicable CCHDO cruise DOI if provided].
#     Information on the scientists who provided the different parameters can be found in the cruise report. Additionally, for US GO-SHIP cruises, this information is usually in the comments section in the text headers of the Exchange bottle files.
#     Users are also encouraged to acknowledge the funding program that supported the data collection in their publication. For US GO-SHIP data this is the NSF/NOAA funded U.S Repeat Hydrography Program.
#     Please see https://cchdo.ucsd.edu/citation or https://cchdo.ucsd.edu for details and examples
# CTD,20200313ODFSIO - Previous Time Stamp. DATE and TIME corrected
# CTD,20190518CCHSIO - Previous Time Stamp. Previous Comments Below
#     SHIP: Roger Revelle
#     Cruise: GEOTRACES, RR1815
#     DATES: 20180918 to 20181125
#     Chief Scientist: Greg Cutter
#     EVENT_CODE = unknown
#     DEPTH_TYPE = unknown
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     STNNBR and CASTNO: removed leading 0s from values to match bottle file.
#     CASTNO: header values for CASTNO were changed to match the file name for the following originator filenames: 00411_ct1.csv,00810_ct1.csv,00812_ct1.csv,00813_ct1.csv,01210_ct1.csv,01212_ct1.csv,01410_ct1.csv,01412_ct1.csv,01413_ct1.csv,01911_ct1.csv,01912_ct1.csv,02111_ct1.csv,02310_ct1.csv,02312_ct1.csv,02313_ct1.csv,02511_ct1.csv,02711_ct1.csv,02910_ct1.csv,02912_ct1.csv,02913_ct1.csv,03111_ct1.csv,03311_ct1.csv,03510_ct1.csv,03512_ct1.csv,03513_ct1.csv,03711_ct1.csv,03910_ct1.csv,03912_ct1.csv
#     Removed erroneous last commas from headers in original file 00702_ct1.csv
#     Original file name: 03905_ct1.csv
#     CTD,20190107ODFSIO - Previous Time Stamp.
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918
SECT_ID = rr1815
STNNBR = 39
CASTNO = 5
DATE = 20181122
TIME = 0017
LATITUDE = -19.999880
LONGITUDE = -152.000340
DEPTH =  4336
INSTRUMENT_ID = 1281
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
       0.0,2,   27.1922,2,   36.1585,2,  195.9877,2,     4.619,1,    0.0159,1,     1.348,1
       2.0,2,   27.1796,2,   36.1591,2,  195.9076,2,     4.618,1,    0.0161,1,    1.3453,1
       4.0,2,   27.2578,2,   36.1607,2,  195.8985,2,    4.6193,1,    0.0159,1,    1.3414,1
       6.0,2,   27.2016,2,   36.1601,2,  196.0062,2,    4.6188,1,    0.0159,1,    1.3396,1
       8.0,2,   27.0881,2,   36.1569,2,   195.995,2,    4.6155,1,    0.0165,1,     1.337,1
      10.0,2,   27.0311,2,   36.1553,2,  196.3769,2,    4.6134,1,    0.0163,1,    1.3345,1
      12.0,2,   27.0188,2,   36.1542,2,  196.2758,2,     4.613,1,    0.0162,1,    1.3327,1
      14.0,2,    27.014,2,    36.154,2,   196.596,2,    4.6122,1,    0.0161,1,    1.3301,1
      16.0,2,   27.0098,2,   36.1538,2,  196.6612,2,    4.6123,1,    0.0161,1,    1.3289,1
      18.0,2,   27.0066,2,   36.1536,2,  196.4122,2,    4.6123,1,    0.0161,1,    1.3265,1
      20.0,2,   27.0055,2,   36.1539,2,  196.4388,2,    4.6128,1,    0.0159,1,    1.3255,1
      22.0,2,   27.0022,2,   36.1538,2,  196.5977,2,    4.6118,1,    0.0162,1,    1.3263,1
      24.0,2,   27.0004,2,   36.1544,2,  196.5839,2,     4.612,1,    0.0165,1,    1.3262,1
      26.0,2,   26.9981,2,   36.1546,2,  196.6981,2,    4.6117,1,    0.0163,1,    1.3278,1
      28.0,2,   26.9954,2,   36.1546,2,  196.8799,2,    4.6101,1,    0.0169,1,    1.3304,1
      30.0,2,   26.9945,2,   36.1546,2,  196.9869,2,    4.6116,1,    0.0171,1,    1.3327,1
      32.0,2,   26.9931,2,   36.1545,2,  196.8785,2,    4.6114,1,    0.0171,1,    1.3349,1
      34.0,2,   26.9924,2,   36.1547,2,  197.1455,2,    4.6122,1,    0.0171,1,    1.3355,1
      36.0,2,   26.9896,2,   36.1551,2,  197.3664,2,     4.612,1,    0.0171,1,    1.3361,1
      38.0,2,   26.9884,2,   36.1551,2,  197.0041,2,    4.6114,1,    0.0171,1,    1.3361,1
      40.0,2,   26.9862,2,   36.1554,2,  196.5157,2,    4.6114,1,    0.0171,1,     1.336,1
      42.0,2,   26.9812,2,   36.1563,2,  196.4868,2,    4.6107,1,    0.0171,1,    1.3363,1
      44.0,2,   26.9161,2,   36.1656,2,  197.4151,2,    4.6113,1,    0.0171,1,    1.3355,1
      46.0,2,   26.7842,2,   36.1887,2,  199.2005,2,    4.6086,1,    0.0174,1,    1.3331,1
      48.0,2,   26.6985,2,   36.1956,2,  200.2199,2,    4.6085,1,    0.0175,1,    1.3303,1
      50.0,2,   26.6229,2,   36.1932,2,  200.9327,2,    4.6084,1,    0.0171,1,    1.3283,1
      52.0,2,   26.6205,2,   36.1952,2,  201.1074,2,      4.61,1,    0.0175,1,    1.3253,1
      54.0,2,   26.6085,2,   36.1965,2,  201.4596,2,    4.6102,1,    0.0172,1,    1.3231,1
      56.0,2,   26.5984,2,   36.1975,2,  201.3838,2,    4.6103,1,    0.0174,1,    1.3212,1
      58.0,2,   26.5253,2,   36.1946,2,  201.7912,2,    4.6093,1,    0.0176,1,    1.3192,1
      60.0,2,   26.3988,2,    36.183,2,  202.4788,2,    4.6068,1,    0.0184,1,    1.3172,1
      62.0,2,   26.3046,2,   36.1734,2,   202.923,2,    4.6079,1,    0.0181,1,    1.3152,1
      64.0,2,   26.1784,2,    36.158,2,  203.4477,2,    4.6078,1,    0.0183,1,     1.313,1
      66.0,2,   26.0484,2,   36.1301,2,  204.5788,2,    4.6075,1,    0.0183,1,    1.3106,1
      68.0,2,   25.7978,2,   36.0805,2,  205.5499,2,    4.6081,1,    0.0183,1,    1.3092,1
      70.0,2,   25.6625,2,   36.0467,2,  206.2602,2,    4.6078,1,    0.0185,1,    1.3078,1
      72.0,2,    25.644,2,   36.0395,2,   206.616,2,    4.6082,1,    0.0184,1,    1.3067,1
