CTD,20201209CCHSIO
# DATE and TIME:  Merged corrected DATE and TIME headers into CTD files
# References:
#     Cruise report available at https://cchdo.ucsd.edu/cruise/33RR20180918
# CCHDO Citation Information
#     Please cite data downloaded from CCHDO as: [Data providers of the parameter(s) used]. [Year of file access]. [CTD/Bottle] data from cruise [expocode], [format version used]. Accessed from CCHDO [url of cruise data page]. Access date [date of download]. [Applicable CCHDO cruise DOI if provided].
#     Information on the scientists who provided the different parameters can be found in the cruise report. Additionally, for US GO-SHIP cruises, this information is usually in the comments section in the text headers of the Exchange bottle files.
#     Users are also encouraged to acknowledge the funding program that supported the data collection in their publication. For US GO-SHIP data this is the NSF/NOAA funded U.S Repeat Hydrography Program.
#     Please see https://cchdo.ucsd.edu/citation or https://cchdo.ucsd.edu for details and examples
# CTD,20200313ODFSIO - Previous Time Stamp. DATE and TIME corrected
# CTD,20190518CCHSIO - Previous Time Stamp. Previous Comments Below
#     SHIP: Roger Revelle
#     Cruise: GEOTRACES, RR1815
#     DATES: 20180918 to 20181125
#     Chief Scientist: Greg Cutter
#     EVENT_CODE = unknown
#     DEPTH_TYPE = unknown
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     STNNBR and CASTNO: removed leading 0s from values to match bottle file.
#     CASTNO: header values for CASTNO were changed to match the file name for the following originator filenames: 00411_ct1.csv,00810_ct1.csv,00812_ct1.csv,00813_ct1.csv,01210_ct1.csv,01212_ct1.csv,01410_ct1.csv,01412_ct1.csv,01413_ct1.csv,01911_ct1.csv,01912_ct1.csv,02111_ct1.csv,02310_ct1.csv,02312_ct1.csv,02313_ct1.csv,02511_ct1.csv,02711_ct1.csv,02910_ct1.csv,02912_ct1.csv,02913_ct1.csv,03111_ct1.csv,03311_ct1.csv,03510_ct1.csv,03512_ct1.csv,03513_ct1.csv,03711_ct1.csv,03910_ct1.csv,03912_ct1.csv
#     Removed erroneous last commas from headers in original file 00702_ct1.csv
#     Original file name: 03708_ct1.csv
#     CTD,20190107ODFSIO - Previous Time Stamp.
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918
SECT_ID = rr1815
STNNBR = 37
CASTNO = 8
DATE = 20181119
TIME = 1616
LATITUDE = -15.000260
LONGITUDE = -152.000180
DEPTH =  4865
INSTRUMENT_ID = 1281
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
       0.0,2,    28.371,2,   36.1961,2,  195.1646,2,    4.6247,1,    0.0183,1,    1.3703,1
       2.0,2,   28.3689,2,   36.0775,2,  194.7812,2,     4.624,1,    0.0179,1,    1.3677,1
       4.0,2,   28.3362,2,   36.2535,2,   194.054,2,    4.6249,1,    0.0179,1,    1.3643,1
       6.0,2,   28.3061,2,   36.3135,2,   194.439,2,    4.6243,1,    0.0178,1,    1.3689,1
       8.0,2,   28.2506,2,   36.3405,2,  194.6503,2,    4.6236,1,    0.0183,1,    1.3714,1
      10.0,2,   28.2642,2,   36.3389,2,  195.1593,2,    4.6235,1,    0.0173,1,    1.3715,1
      12.0,2,   28.2223,2,   36.3462,2,  195.1277,2,    4.6231,1,    0.0182,1,    1.3703,1
      14.0,2,   28.1923,2,   36.3568,2,  195.1655,2,     4.623,1,     0.018,1,    1.3681,1
      16.0,2,   28.1418,2,   36.3671,2,  195.6247,2,    4.6222,1,    0.0183,1,    1.3655,1
      18.0,2,   28.1442,2,   36.3727,2,  196.3886,2,    4.6227,1,    0.0181,1,    1.3618,1
      20.0,2,   28.1355,2,   36.3841,2,  196.0736,2,    4.6222,1,    0.0183,1,    1.3565,1
      22.0,2,   28.1302,2,   36.3937,2,  196.0869,2,    4.6232,1,    0.0183,1,    1.3493,1
      24.0,2,   28.1231,2,   36.3921,2,  196.5374,2,    4.6231,1,    0.0179,1,    1.3427,1
      26.0,2,   28.1239,2,   36.3931,2,  196.3861,2,    4.6225,1,    0.0181,1,    1.3361,1
      28.0,2,   28.1133,2,   36.3966,2,  196.3025,2,    4.6224,1,    0.0179,1,    1.3318,1
      30.0,2,   28.1075,2,   36.3971,2,  196.3313,2,    4.6233,1,     0.018,1,    1.3297,1
      32.0,2,   28.1062,2,   36.4003,2,  196.4216,2,    4.6242,1,    0.0178,1,    1.3277,1
      34.0,2,   28.1043,2,   36.4004,2,  196.2148,2,    4.6238,1,     0.018,1,    1.3253,1
      36.0,2,   28.1007,2,    36.401,2,  196.1795,2,    4.6237,1,    0.0184,1,    1.3219,1
      38.0,2,    28.095,2,   36.4015,2,  196.4777,2,     4.623,1,    0.0181,1,     1.318,1
      40.0,2,   28.0954,2,   36.4026,2,  196.5102,2,    4.6231,1,    0.0184,1,    1.3129,1
      42.0,2,   28.0964,2,   36.4032,2,  196.6666,2,     4.624,1,    0.0184,1,    1.3078,1
      44.0,2,   28.0927,2,   36.4034,2,  196.2168,2,    4.6241,1,    0.0184,1,    1.3033,1
      46.0,2,   28.0883,2,   36.4026,2,  196.4214,2,    4.6237,1,    0.0184,1,    1.2995,1
      48.0,2,   28.0813,2,   36.4012,2,  196.5419,2,    4.6223,1,    0.0184,1,    1.2977,1
      50.0,2,   28.0632,2,   36.3976,2,  196.5692,2,     4.622,1,    0.0184,1,    1.2962,1
      52.0,2,   28.0505,2,   36.3942,2,  196.6035,2,    4.6212,1,    0.0184,1,    1.2956,1
      54.0,2,   28.0326,2,   36.3886,2,  196.3809,2,    4.6209,1,    0.0184,1,    1.2943,1
      56.0,2,   27.9899,2,   36.3771,2,  197.3952,2,    4.6204,1,    0.0184,1,    1.2938,1
      58.0,2,    27.968,2,   36.3709,2,  197.4668,2,      4.62,1,    0.0183,1,    1.2923,1
      60.0,2,   27.8523,2,   36.3479,2,  198.1784,2,    4.6184,1,    0.0189,1,    1.2902,1
      62.0,2,   27.7658,2,   36.3303,2,  197.8922,2,     4.618,1,    0.0188,1,     1.289,1
      64.0,2,   27.6202,2,   36.3026,2,  199.1226,2,     4.617,1,    0.0192,1,    1.2883,1
      66.0,2,   27.4143,2,   36.2736,2,  200.3022,2,    4.6179,1,    0.0192,1,    1.2872,1
      68.0,2,   27.3415,2,   36.2758,2,  200.9749,2,    4.6179,1,    0.0192,1,    1.2863,1
      70.0,2,   27.2589,2,   36.2719,2,  201.0745,2,    4.6199,1,    0.0195,1,    1.2865,1
      72.0,2,   27.0952,2,   36.2263,2,  201.1292,2,    4.6201,1,    0.0195,1,     1.286,1
      74.0,2,   27.0854,2,   36.2247,2,  201.3072,2,      4.62,1,    0.0195,1,    1.2855,1
      76.0,2,   27.0523,2,   36.2305,2,  201.0512,2,    4.6203,1,    0.0195,1,    1.2849,1
      78.0,2,   26.9949,2,   36.2237,2,  201.4633,2,    4.6195,1,    0.0206,1,    1.2843,1
      80.0,2,   26.9292,2,   36.2106,2,  202.0899,2,      4.62,1,     0.021,1,    1.2836,1
      82.0,2,   27.0315,2,   36.2835,2,  201.5244,2,    4.6209,1,    0.0208,1,     1.283,1
      84.0,2,    27.041,2,   36.3038,2,  200.5189,2,     4.622,1,    0.0208,1,    1.2831,1
      86.0,2,   27.0566,2,   36.3234,2,  199.6927,2,    4.6217,1,    0.0208,1,    1.2829,1
      88.0,2,   27.0682,2,   36.3373,2,   199.592,2,    4.6219,1,    0.0213,1,    1.2823,1
      90.0,2,   27.0731,2,   36.3567,2,  199.2551,2,    4.6216,1,    0.0217,1,    1.2815,1
      92.0,2,   27.0646,2,   36.3673,2,  199.1233,2,    4.6213,1,    0.0221,1,    1.2806,1
      94.0,2,   27.0596,2,   36.3832,2,  198.0888,2,    4.6209,1,    0.0226,1,      1.28,1
      96.0,2,   27.0177,2,   36.3849,2,  197.7592,2,    4.6207,1,    0.0227,1,    1.2794,1
      98.0,2,   26.9822,2,   36.3812,2,  197.4819,2,    4.6209,1,    0.0237,1,    1.2791,1
     100.0,2,   26.9509,2,   36.3742,2,  197.3192,2,    4.6211,1,    0.0235,1,    1.2791,1
     102.0,2,   26.8905,2,   36.3707,2,   197.097,2,    4.6207,1,     0.024,1,    1.2791,1
     104.0,2,   26.8689,2,    36.404,2,  196.3425,2,    4.6194,1,    0.0252,1,    1.2791,1
     106.0,2,   26.7565,2,   36.4125,2,  195.5892,2,    4.6163,1,    0.0257,1,     1.279,1
     108.0,2,   26.6634,2,    36.414,2,  193.5819,2,     4.614,1,      0.03,1,    1.2793,1
     110.0,2,   26.5302,2,   36.4072,2,  193.0774,2,    4.6134,1,     0.034,1,    1.2794,1
     112.0,2,    26.352,2,   36.4097,2,  192.7352,2,    4.6121,1,    0.0358,1,    1.2796,1
     114.0,2,   26.2252,2,   36.4228,2,  191.9723,2,    4.6081,1,    0.0403,1,    1.2803,1
     116.0,2,   26.0612,2,   36.4252,2,  190.6893,2,    4.6071,1,     0.044,1,    1.2806,1
     118.0,2,   26.0005,2,   36.4262,2,  189.3672,2,    4.6083,1,    0.0475,1,    1.2812,1
     120.0,2,   25.9734,2,   36.4276,2,  188.9876,2,    4.6084,1,    0.0473,1,    1.2817,1
     122.0,2,   25.8472,2,   36.4279,2,  189.1292,2,    4.6086,1,    0.0449,1,    1.2825,1
     124.0,2,   25.5211,2,   36.4399,2,  189.0265,2,    4.6083,1,    0.0455,1,    1.2835,1
     126.0,2,    25.453,2,   36.4391,2,  186.6897,2,    4.6105,1,    0.0472,1,     1.285,1
     128.0,2,   25.4267,2,   36.4375,2,  186.0173,2,     4.612,1,    0.0476,1,    1.2871,1
     130.0,2,   25.3637,2,   36.4344,2,  186.2244,2,    4.6137,1,    0.0455,1,     1.289,1
     132.0,2,   25.1218,2,   36.4231,2,  186.0793,2,     4.617,1,    0.0429,1,    1.2899,1
     134.0,2,   24.9733,2,    36.413,2,  184.7783,2,    4.6201,1,    0.0405,1,    1.2899,1
     136.0,2,   24.9042,2,   36.4075,2,  182.9438,2,    4.6221,1,    0.0393,1,    1.2908,1
     138.0,2,   24.7959,2,   36.4012,2,  182.0463,2,    4.6233,1,    0.0394,1,    1.2929,1
     140.0,2,   24.7463,2,   36.3978,2,   181.073,2,    4.6248,1,    0.0393,1,    1.2946,1
     142.0,2,   24.6711,2,    36.389,2,  180.6497,2,    4.6267,1,    0.0377,1,    1.2961,1
     144.0,2,   24.5276,2,   36.3786,2,  180.3702,2,    4.6268,1,     0.035,1,    1.2981,1
     146.0,2,   24.3349,2,   36.3477,2,  179.8117,2,    4.6297,1,    0.0339,1,    1.2996,1
     148.0,2,   24.2316,2,   36.3336,2,   179.277,2,    4.6305,1,    0.0321,1,    1.3029,1
     150.0,2,   24.1659,2,   36.3219,2,  179.1519,2,    4.6312,1,    0.0318,1,    1.3055,1
     152.0,2,   24.0943,2,   36.3141,2,  178.7746,2,    4.6317,1,    0.0315,1,    1.3084,1
     154.0,2,   24.0107,2,   36.3035,2,  178.4915,2,    4.6317,1,     0.031,1,    1.3115,1
     156.0,2,   23.9164,2,    36.291,2,  178.2051,2,    4.6322,1,    0.0312,1,    1.3155,1
     158.0,2,   23.8778,2,   36.2841,2,  178.1388,2,    4.6324,1,    0.0299,1,    1.3191,1
     160.0,2,   23.7882,2,   36.2721,2,  178.1942,2,    4.6324,1,    0.0293,1,    1.3242,1
     162.0,2,   23.6683,2,   36.2594,2,  177.9095,2,    4.6329,1,    0.0286,1,    1.3298,1
     164.0,2,   23.5655,2,   36.2476,2,  177.9053,2,    4.6337,1,    0.0283,1,    1.3338,1
     166.0,2,   23.5168,2,   36.2421,2,  177.4643,2,    4.6338,1,    0.0282,1,    1.3374,1
     168.0,2,   23.4777,2,   36.2376,2,  177.3048,2,    4.6342,1,    0.0278,1,     1.341,1
     170.0,2,   23.3808,2,   36.2263,2,   177.291,2,    4.6349,1,     0.027,1,    1.3446,1
     172.0,2,   23.3085,2,   36.2184,2,    177.12,2,    4.6359,1,    0.0263,1,     1.348,1
     174.0,2,   23.1735,2,   36.2031,2,  177.0088,2,    4.6367,1,    0.0257,1,    1.3516,1
     176.0,2,   23.0121,2,   36.1812,2,  176.6255,2,    4.6383,1,    0.0249,1,    1.3558,1
     178.0,2,   22.8948,2,   36.1616,2,  175.9896,2,    4.6391,1,    0.0244,1,    1.3588,1
     180.0,2,   22.8252,2,    36.149,2,   175.867,2,    4.6394,1,    0.0244,1,    1.3601,1
     182.0,2,   22.7293,2,   36.1364,2,  175.8256,2,    4.6398,1,    0.0239,1,    1.3622,1
     184.0,2,    22.581,2,   36.1194,2,  175.5658,2,    4.6398,1,    0.0236,1,    1.3648,1
     186.0,2,   22.4565,2,   36.1015,2,  175.5822,2,     4.641,1,    0.0232,1,    1.3693,1
     188.0,2,   22.2444,2,   36.0683,2,  175.6049,2,    4.6418,1,    0.0228,1,    1.3726,1
     190.0,2,   22.0392,2,   36.0456,2,  175.5281,2,    4.6431,1,    0.0213,1,    1.3746,1
     192.0,2,   21.8938,2,    36.025,2,  175.0452,2,    4.6429,1,    0.0208,1,    1.3789,1
     194.0,2,   21.6933,2,   35.9927,2,  175.1114,2,    4.6437,1,    0.0201,1,    1.3841,1
     196.0,2,   21.5315,2,   35.9697,2,  175.6092,2,    4.6456,1,    0.0195,1,    1.3897,1
     198.0,2,   21.4205,2,   35.9539,2,  176.0169,2,    4.6464,1,     0.019,1,    1.3953,1
     200.0,2,   21.3071,2,    35.943,2,   175.942,2,    4.6472,1,    0.0191,1,    1.4014,1
     202.0,2,   21.2497,2,   35.9367,2,  175.7447,2,    4.6475,1,    0.0185,1,    1.4067,1
     204.0,2,   21.1674,2,   35.9255,2,   175.521,2,    4.6477,1,    0.0184,1,    1.4113,1
     206.0,2,   21.1157,2,   35.9159,2,  175.4762,2,    4.6477,1,    0.0183,1,    1.4164,1
     208.0,2,   20.9613,2,   35.8953,2,  175.7769,2,    4.6483,1,    0.0181,1,    1.4223,1
     210.0,2,   20.8846,2,   35.8841,2,  175.5473,2,    4.6492,1,     0.018,1,    1.4287,1
     212.0,2,   20.7391,2,   35.8634,2,  175.7584,2,    4.6489,1,    0.0181,1,     1.433,1
     214.0,2,   20.6376,2,   35.8486,2,  175.7398,2,    4.6495,1,    0.0171,1,    1.4356,1
     216.0,2,   20.5465,2,   35.8358,2,  175.4885,2,    4.6497,1,    0.0171,1,    1.4404,1
     218.0,2,   20.4378,2,   35.8211,2,  175.5299,2,    4.6503,1,    0.0171,1,    1.4471,1
     220.0,2,   20.3372,2,   35.8111,2,  175.4222,2,    4.6507,1,    0.0171,1,    1.4514,1
     222.0,2,   20.2892,2,   35.8052,2,  175.1537,2,    4.6508,1,    0.0171,1,    1.4553,1
     224.0,2,   20.1335,2,   35.7833,2,  175.0718,2,    4.6509,1,    0.0171,1,    1.4613,1
     226.0,2,   19.9539,2,   35.7596,2,  174.5352,2,    4.6509,1,    0.0169,1,    1.4664,1
     228.0,2,   19.8571,2,   35.7427,2,  174.5888,2,    4.6508,1,    0.0159,1,    1.4686,1
     230.0,2,   19.6871,2,   35.7192,2,  174.7454,2,    4.6518,1,    0.0159,1,    1.4723,1
     232.0,2,    19.581,2,   35.7022,2,  174.7502,2,     4.652,1,    0.0159,1,     1.477,1
     234.0,2,   19.4081,2,   35.6768,2,  174.9546,2,    4.6517,1,    0.0159,1,      1.48,1
