CTD,20201209CCHSIO
# DATE and TIME:  Merged corrected DATE and TIME headers into CTD files
# References:
#     Cruise report available at https://cchdo.ucsd.edu/cruise/33RR20180918
# CCHDO Citation Information
#     Please cite data downloaded from CCHDO as: [Data providers of the parameter(s) used]. [Year of file access]. [CTD/Bottle] data from cruise [expocode], [format version used]. Accessed from CCHDO [url of cruise data page]. Access date [date of download]. [Applicable CCHDO cruise DOI if provided].
#     Information on the scientists who provided the different parameters can be found in the cruise report. Additionally, for US GO-SHIP cruises, this information is usually in the comments section in the text headers of the Exchange bottle files.
#     Users are also encouraged to acknowledge the funding program that supported the data collection in their publication. For US GO-SHIP data this is the NSF/NOAA funded U.S Repeat Hydrography Program.
#     Please see https://cchdo.ucsd.edu/citation or https://cchdo.ucsd.edu for details and examples
# CTD,20200313ODFSIO - Previous Time Stamp. DATE and TIME corrected
# CTD,20190518CCHSIO - Previous Time Stamp. Previous Comments Below
#     SHIP: Roger Revelle
#     Cruise: GEOTRACES, RR1815
#     DATES: 20180918 to 20181125
#     Chief Scientist: Greg Cutter
#     EVENT_CODE = unknown
#     DEPTH_TYPE = unknown
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     STNNBR and CASTNO: removed leading 0s from values to match bottle file.
#     CASTNO: header values for CASTNO were changed to match the file name for the following originator filenames: 00411_ct1.csv,00810_ct1.csv,00812_ct1.csv,00813_ct1.csv,01210_ct1.csv,01212_ct1.csv,01410_ct1.csv,01412_ct1.csv,01413_ct1.csv,01911_ct1.csv,01912_ct1.csv,02111_ct1.csv,02310_ct1.csv,02312_ct1.csv,02313_ct1.csv,02511_ct1.csv,02711_ct1.csv,02910_ct1.csv,02912_ct1.csv,02913_ct1.csv,03111_ct1.csv,03311_ct1.csv,03510_ct1.csv,03512_ct1.csv,03513_ct1.csv,03711_ct1.csv,03910_ct1.csv,03912_ct1.csv
#     Removed erroneous last commas from headers in original file 00702_ct1.csv
#     Original file name: 03512_ct1.csv
#     CTD, 20190107ODFSIO - Previous Time Stamp.
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918
SECT_ID = rr1815
STNNBR = 35
CASTNO = 12
DATE = 20181117
TIME = 1450
LATITUDE = -10.499620
LONGITUDE = -151.999760
DEPTH =  5224
INSTRUMENT_ID = 1281
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
       0.0,6,   28.8308,6,   35.8345,6,  196.2129,6,    4.6477,6,    0.0096,6,      -999,9
       2.0,6,   28.8308,6,   35.8345,6,  196.2129,6,    4.6477,6,    0.0096,6,      -999,9
       4.0,2,   28.7778,2,   35.8366,2,  196.2165,2,     4.648,1,    0.0075,1,      -999,9
       6.0,2,   28.6739,2,   35.8441,2,   196.554,2,    4.6436,1,     0.008,1,      -999,9
       8.0,2,   28.6702,2,   35.8519,2,  196.5435,2,    4.6416,1,    0.0084,1,      -999,9
      10.0,2,   28.6547,2,   35.8587,2,  196.8414,2,    4.6393,1,    0.0084,1,      -999,9
      12.0,2,   28.6529,2,   35.8586,2,  196.6966,2,     4.641,1,    0.0085,1,      -999,9
      14.0,2,   28.6517,2,   35.8584,2,  196.7449,2,    4.6403,1,    0.0086,1,      -999,9
      16.0,2,    28.639,2,   35.8541,2,  196.8232,2,    4.6412,1,    0.0086,1,      -999,9
      18.0,2,   28.6261,2,   35.8556,2,  197.0166,2,    4.6419,1,    0.0084,1,      -999,9
      20.0,2,   28.6315,2,   35.8643,2,  197.0443,2,    4.6435,1,    0.0091,1,      -999,9
      22.0,2,   28.6389,2,   35.8689,2,  197.2056,2,    4.6431,1,    0.0091,1,      -999,9
      24.0,2,   28.6494,2,   35.8784,2,  197.2052,2,     4.643,1,     0.009,1,      -999,9
      26.0,2,   28.6607,2,   35.8881,2,  196.6049,2,     4.642,1,    0.0091,1,      -999,9
      28.0,2,   28.6672,2,   35.8946,2,  196.5326,2,    4.6422,1,    0.0096,1,      -999,9
      30.0,2,   28.6723,2,   35.9026,2,   196.686,2,    4.6417,1,    0.0101,1,      -999,9
      32.0,2,   28.6719,2,   35.9238,2,   196.582,2,     4.641,1,    0.0097,1,      -999,9
      34.0,2,    28.671,2,   35.9886,2,  196.6979,2,    4.6381,1,    0.0107,1,      -999,9
      36.0,2,   28.6269,2,   36.0368,2,  197.2038,2,    4.6377,1,    0.0112,1,      -999,9
      38.0,2,   28.6198,2,   36.1234,2,  197.7595,2,     4.644,1,    0.0108,1,      -999,9
      40.0,2,   28.5439,2,   36.1423,2,  198.0381,2,    4.6477,1,    0.0107,1,      -999,9
      42.0,2,    28.405,2,    36.169,2,  199.1266,2,    4.6476,1,    0.0113,1,      -999,9
      44.0,2,   28.2121,2,   36.1489,2,  199.9134,2,    4.6502,1,    0.0116,1,      -999,9
      46.0,2,   28.0462,2,   36.1182,2,  199.1561,2,    4.6503,1,    0.0122,1,      -999,9
      48.0,2,   27.9733,2,   36.1135,2,  196.8717,2,    4.6536,1,    0.0119,1,      -999,9
      50.0,2,   27.9178,2,   36.1099,2,  195.6098,2,    4.6539,1,    0.0122,1,      -999,9
      52.0,2,    27.894,2,   36.1157,2,  194.0825,2,    4.6527,1,     0.013,1,      -999,9
      54.0,2,   27.8764,2,    36.129,2,  193.5212,2,    4.6536,1,    0.0135,1,      -999,9
      56.0,2,   27.8575,2,   36.1347,2,  194.8399,2,    4.6545,1,    0.0134,1,      -999,9
      58.0,2,   27.8221,2,   36.1462,2,  195.9954,2,    4.6551,1,    0.0135,1,      -999,9
      60.0,2,   27.7832,2,   36.1537,2,  197.1603,2,    4.6558,1,    0.0136,1,      -999,9
      62.0,2,   27.7614,2,   36.1583,2,  197.6107,2,    4.6566,1,     0.013,1,      -999,9
      64.0,2,   27.7698,2,   36.1659,2,  197.7013,2,    4.6568,1,    0.0132,1,      -999,9
      66.0,2,   27.8134,2,   36.2037,2,  196.3336,2,    4.6581,1,    0.0132,1,      -999,9
      68.0,2,   27.8376,2,   36.2269,2,  195.0654,2,     4.658,1,    0.0124,1,      -999,9
      70.0,2,   27.8466,2,   36.2348,2,  195.7168,2,    4.6586,1,    0.0123,1,      -999,9
      72.0,2,    27.811,2,    36.231,2,  194.9393,2,    4.6585,1,    0.0121,1,      -999,9
      74.0,2,   27.7725,2,    36.227,2,  194.1662,2,    4.6602,1,    0.0123,1,      -999,9
      76.0,2,   27.7112,2,   36.2233,2,   193.621,2,    4.6607,1,    0.0127,1,      -999,9
      78.0,2,   27.5298,2,   36.2261,2,  192.4051,2,    4.6627,1,    0.0134,1,      -999,9
      80.0,2,   27.4485,2,   36.2336,2,  185.6095,2,    4.6663,1,    0.0119,1,      -999,9
      82.0,2,   27.4298,2,   36.2331,2,  183.0176,2,    4.6673,1,    0.0117,1,      -999,9
      84.0,2,   27.3741,2,   36.2388,2,  182.3397,2,    4.6688,1,    0.0108,1,      -999,9
      86.0,2,   27.3306,2,   36.2446,2,  180.1023,2,    4.6697,1,    0.0114,1,      -999,9
      88.0,2,   27.2759,2,   36.2504,2,  178.9205,2,    4.6699,1,     0.011,1,      -999,9
      90.0,2,   27.1633,2,   36.2556,2,  177.7813,2,    4.6675,1,    0.0106,1,      -999,9
      92.0,2,   27.0999,2,    36.262,2,  175.2493,2,    4.6723,1,    0.0103,1,      -999,9
      94.0,2,   27.0656,2,    36.265,2,   171.834,2,    4.6739,1,    0.0108,1,      -999,9
      96.0,2,   26.9761,2,   36.2898,2,  172.0304,2,    4.6754,1,    0.0098,1,      -999,9
      98.0,2,    26.895,2,   36.3075,2,  171.6864,2,    4.6758,1,    0.0097,1,      -999,9
     100.0,2,   26.8796,2,   36.3166,2,  171.8019,2,    4.6764,1,    0.0097,1,      -999,9
     102.0,2,   26.8556,2,   36.3213,2,  172.2009,2,     4.677,1,    0.0099,1,      -999,9
     104.0,2,   26.7087,2,    36.331,2,  172.0222,2,    4.6775,1,    0.0088,1,      -999,9
     106.0,2,   26.6719,2,   36.3425,2,  170.4556,2,    4.6785,1,    0.0086,1,      -999,9
     108.0,2,   26.6016,2,   36.3461,2,  170.0754,2,    4.6792,1,    0.0084,1,      -999,9
     110.0,2,   26.5699,2,   36.3524,2,  168.6642,2,    4.6804,1,    0.0091,1,      -999,9
     112.0,2,   26.4845,2,    36.363,2,  168.7824,2,    4.6816,1,    0.0074,1,      -999,9
     114.0,2,   26.4426,2,   36.3668,2,  168.1383,2,    4.6814,1,     0.008,1,      -999,9
     116.0,2,   26.3933,2,   36.3743,2,  168.2132,2,    4.6814,1,    0.0077,1,      -999,9
     118.0,2,   26.3255,2,    36.381,2,  167.7082,2,    4.6825,1,    0.0075,1,      -999,9
     120.0,2,   26.2335,2,   36.3898,2,   167.662,2,    4.6835,1,    0.0068,1,      -999,9
     122.0,2,   26.1218,2,   36.3957,2,  167.5933,2,    4.6852,1,    0.0063,1,      -999,9
     124.0,2,   26.0363,2,   36.4012,2,  167.5403,2,    4.6861,1,    0.0062,1,      -999,9
     126.0,2,   25.8483,2,   36.3952,2,  167.1123,2,    4.6862,1,    0.0059,1,      -999,9
     128.0,2,   25.7337,2,    36.398,2,  164.5085,2,    4.6862,1,    0.0054,1,      -999,9
     130.0,2,   25.6087,2,   36.4028,2,  163.3491,2,     4.686,1,    0.0056,1,      -999,9
     132.0,2,   25.4234,2,   36.4091,2,   162.518,2,    4.6861,1,    0.0052,1,      -999,9
     134.0,2,   25.2185,2,   36.4126,2,  161.9671,2,    4.6853,1,    0.0049,1,      -999,9
     136.0,2,   25.1116,2,   36.4123,2,  160.4313,2,    4.6862,1,    0.0046,1,      -999,9
     138.0,2,   25.0331,2,   36.4122,2,  159.7595,2,    4.6869,1,    0.0047,1,      -999,9
     140.0,2,   24.9613,2,   36.4098,2,   159.377,2,    4.6874,1,    0.0047,1,      -999,9
     142.0,2,   24.8851,2,   36.4066,2,  159.2487,2,    4.6878,1,    0.0046,1,      -999,9
     144.0,2,   24.8676,2,   36.4058,2,  159.1565,2,    4.6883,1,    0.0042,1,      -999,9
     146.0,2,   24.8499,2,   36.4037,2,  159.2706,2,    4.6886,1,     0.004,1,      -999,9
     148.0,2,   24.7984,2,   36.4001,2,  159.3019,2,    4.6886,1,    0.0039,1,      -999,9
     150.0,2,   24.7413,2,      36.4,2,  159.2202,2,     4.689,1,    0.0039,1,      -999,9
     152.0,2,   24.6489,2,   36.3921,2,  158.7072,2,    4.6897,1,    0.0038,1,      -999,9
     154.0,2,   24.5437,2,    36.383,2,   158.896,2,    4.6903,1,    0.0037,1,      -999,9
     156.0,2,   24.4537,2,   36.3706,2,  158.8484,2,    4.6912,1,    0.0036,1,      -999,9
     158.0,2,   24.3118,2,   36.3589,2,  158.7998,2,    4.6918,1,    0.0037,1,      -999,9
     160.0,2,   24.2329,2,   36.3512,2,   158.301,2,    4.6932,1,    0.0036,1,      -999,9
     162.0,2,   24.1091,2,   36.3368,2,  157.8271,2,    4.6935,1,    0.0033,1,      -999,9
     164.0,2,    23.974,2,   36.3226,2,  158.1905,2,    4.6939,1,    0.0028,1,      -999,9
     166.0,2,   23.7936,2,   36.3011,2,  158.1791,2,    4.6944,1,    0.0026,1,      -999,9
     168.0,2,   23.6486,2,   36.2867,2,  158.0387,2,    4.6948,1,    0.0027,1,      -999,9
     170.0,2,    23.448,2,   36.2641,2,  158.0755,2,    4.6953,1,    0.0025,1,      -999,9
     172.0,2,   23.1863,2,   36.2368,2,  158.1913,2,    4.6962,1,    0.0024,1,      -999,9
     174.0,2,   23.0528,2,    36.219,2,  158.0297,2,    4.6974,1,    0.0024,1,      -999,9
     176.0,2,   22.9276,2,   36.2021,2,  158.0353,2,     4.698,1,    0.0024,1,      -999,9
     178.0,2,   22.8487,2,   36.1915,2,  157.8557,2,    4.6991,1,    0.0024,1,      -999,9
     180.0,2,   22.6708,2,   36.1648,2,  158.4609,2,    4.6989,1,    0.0022,1,      -999,9
     182.0,2,   22.4962,2,   36.1374,2,  158.3696,2,    4.6996,1,    0.0018,1,      -999,9
     184.0,2,   22.2765,2,   36.1125,2,  157.9521,2,    4.7003,1,    0.0017,1,      -999,9
     186.0,2,   22.1136,2,   36.0925,2,  157.5031,2,    4.7009,1,    0.0015,1,      -999,9
     188.0,2,   21.9965,2,   36.0733,2,  157.6368,2,     4.701,1,    0.0013,1,      -999,9
     190.0,2,   21.9388,2,   36.0634,2,  157.2989,2,    4.7016,1,    0.0013,1,      -999,9
     192.0,2,   21.8336,2,   36.0464,2,  157.1833,2,     4.702,1,    0.0013,1,      -999,9
     194.0,2,   21.6888,2,   36.0255,2,  156.7047,2,    4.7022,1,    0.0013,1,      -999,9
     196.0,2,   21.3752,2,   35.9743,2,   156.738,2,    4.7022,1,    0.0012,1,      -999,9
     198.0,2,   21.2187,2,   35.9612,2,  156.1741,2,    4.7029,1,    0.0012,1,      -999,9
     200.0,2,   21.1504,2,   35.9462,2,  155.7863,2,    4.7033,1,    0.0012,1,      -999,9
     202.0,2,   21.0138,2,   35.9248,2,  155.2494,2,    4.7037,1,    0.0012,1,      -999,9
     204.0,2,   20.8003,2,    35.889,2,  154.7569,2,    4.7043,1,    0.0012,1,      -999,9
     206.0,2,    20.478,2,   35.8453,2,  154.4063,2,    4.7044,1,    0.0012,1,      -999,9
     208.0,2,   20.1438,2,   35.7915,2,  153.5039,2,    4.7047,1,    0.0011,1,      -999,9
     210.0,2,   19.7656,2,   35.7403,2,  152.2062,2,    4.7054,1,    0.0009,1,      -999,9
     212.0,2,    19.452,2,   35.6942,2,  150.6797,2,    4.7058,1,    0.0009,1,      -999,9
     214.0,2,   19.3245,2,   35.6803,2,  149.4594,2,     4.706,1,    0.0009,1,      -999,9
     216.0,2,   19.2788,2,     35.67,2,  148.7472,2,    4.7068,1,     0.001,1,      -999,9
     218.0,2,   19.2637,2,   35.6657,2,  148.1891,2,    4.7069,1,    0.0008,1,      -999,9
     220.0,2,   19.2463,2,   35.6606,2,  148.1472,2,    4.7069,1,    0.0008,1,      -999,9
     222.0,2,   19.1874,2,   35.6483,2,    148.16,2,    4.7069,1,    0.0008,1,      -999,9
     224.0,2,   19.0641,2,   35.6293,2,  147.9307,2,     4.707,1,    0.0007,1,      -999,9
     226.0,2,   18.8666,2,    35.599,2,  147.2949,2,    4.7071,1,    0.0008,1,      -999,9
     228.0,2,   18.5706,2,   35.5546,2,  146.2668,2,    4.7072,1,    0.0007,1,      -999,9
     230.0,2,   18.3968,2,   35.5349,2,  144.8818,2,    4.7073,1,    0.0006,1,      -999,9
     232.0,2,    18.277,2,   35.5178,2,  143.1294,2,    4.7077,1,    0.0007,1,      -999,9
     234.0,2,   18.2022,2,   35.5069,2,  141.3773,2,    4.7082,1,    0.0005,1,      -999,9
     236.0,2,    18.137,2,    35.497,2,  140.5056,2,    4.7082,1,    0.0006,1,      -999,9
     238.0,2,   17.9072,2,   35.4649,2,  140.1424,2,    4.7083,1,    0.0006,1,      -999,9
     240.0,2,    17.725,2,   35.4449,2,  138.5884,2,    4.7083,1,    0.0005,1,      -999,9
     242.0,2,   17.6071,2,   35.4291,2,  137.0592,2,    4.7079,1,    0.0003,1,      -999,9
     244.0,2,   17.5332,2,   35.4183,2,  135.9935,2,    4.7093,1,    0.0004,1,      -999,9
     246.0,2,   17.4229,2,   35.3972,2,  135.3414,2,    4.7093,1,    0.0006,1,      -999,9
     248.0,2,   17.1433,2,   35.3616,2,   134.853,2,    4.7094,1,    0.0006,1,      -999,9
     250.0,2,   17.0805,2,   35.3534,2,  133.5061,2,    4.7092,1,    0.0005,1,      -999,9
     252.0,2,   16.9642,2,   35.3342,2,   133.105,2,    4.7095,1,    0.0005,1,      -999,9
     254.0,2,   16.7242,2,   35.3038,2,  133.0859,2,    4.7095,1,    0.0004,1,      -999,9
     256.0,2,   16.4694,2,   35.2646,2,  132.6791,2,    4.7101,1,    0.0004,1,      -999,9
     258.0,2,   16.1392,2,   35.2297,2,  131.0588,2,    4.7095,1,    0.0005,1,      -999,9
     260.0,2,   16.0267,2,   35.2142,2,  127.9161,2,    4.7094,1,    0.0005,1,      -999,9
     262.0,2,   15.7147,2,   35.1735,2,  127.1425,2,    4.7088,1,    0.0005,1,      -999,9
     264.0,2,   15.5564,2,   35.1598,2,  125.6768,2,    4.7093,1,    0.0003,1,      -999,9
     266.0,2,   15.4713,2,   35.1472,2,   124.021,2,    4.7089,1,    0.0003,1,      -999,9
     268.0,2,   15.4215,2,   35.1404,2,   122.755,2,    4.7093,1,    0.0003,1,      -999,9
     270.0,2,    15.313,2,   35.1266,2,  122.0847,2,     4.709,1,    0.0003,1,      -999,9
     272.0,2,   15.2185,2,   35.1181,2,  120.4592,2,    4.7087,1,    0.0004,1,      -999,9
     274.0,2,   15.1872,2,   35.1132,2,  118.8229,2,    4.7083,1,    0.0006,1,      -999,9
     276.0,2,   15.1557,2,   35.1086,2,  117.9031,2,    4.7082,1,    0.0008,1,      -999,9
     278.0,2,    15.062,2,   35.0947,2,   117.454,2,    4.7082,1,    0.0007,1,      -999,9
     280.0,2,   14.8993,2,   35.0818,2,  116.8885,2,    4.7082,1,    0.0005,1,      -999,9
     282.0,2,   14.8823,2,   35.0803,2,  114.1196,2,    4.7072,1,    0.0007,1,      -999,9
     284.0,2,   14.8148,2,   35.0703,2,  112.8298,2,    4.7082,1,    0.0005,1,      -999,9
     286.0,2,   14.7096,2,   35.0568,2,  112.4015,2,    4.7082,1,    0.0007,1,      -999,9
     288.0,2,   14.4324,2,   35.0286,2,  112.0665,2,    4.7087,1,    0.0007,1,      -999,9
     290.0,2,   14.3306,2,   35.0239,2,  109.9456,2,    4.7087,1,    0.0006,1,      -999,9
     292.0,2,   14.1938,2,   35.0057,2,  108.1816,2,    4.7095,1,    0.0008,1,      -999,9
     294.0,2,   14.0684,2,   35.0004,2,  104.8043,2,    4.7102,1,    0.0008,1,      -999,9
     296.0,2,    14.008,2,   34.9914,2,  102.0201,2,    4.7106,1,    0.0006,1,      -999,9
     298.0,2,   13.8612,2,   34.9743,2,  101.4958,2,    4.7107,1,    0.0007,1,      -999,9
     300.0,2,   13.7075,2,   34.9573,2,  100.7965,2,     4.711,1,    0.0007,1,      -999,9
     302.0,2,   13.5561,2,   34.9454,2,   99.1118,2,    4.7115,1,    0.0007,1,      -999,9
     304.0,2,   13.3392,2,   34.9256,2,     97.94,2,    4.7118,1,    0.0007,1,      -999,9
     306.0,2,   13.2732,2,   34.9177,2,   96.4774,2,     4.712,1,    0.0008,1,      -999,9
     308.0,2,   13.2271,2,   34.9137,2,   94.9911,2,    4.7124,1,    0.0008,1,      -999,9
     310.0,2,   13.2006,2,   34.9086,2,   93.9379,2,    4.7125,1,     0.001,1,      -999,9
     312.0,2,   13.1359,2,    34.898,2,   93.6163,2,    4.7126,1,    0.0006,1,      -999,9
     314.0,2,   12.8709,2,   34.8702,2,   93.5185,2,    4.7127,1,    0.0009,1,      -999,9
     316.0,2,    12.662,2,    34.858,2,   92.3228,2,    4.7129,1,    0.0009,1,      -999,9
     318.0,2,     12.59,2,   34.8527,2,   90.8298,2,     4.713,1,    0.0009,1,      -999,9
     320.0,2,   12.5418,2,   34.8488,2,   89.6404,2,     4.713,1,    0.0009,1,      -999,9
     322.0,2,    12.494,2,   34.8432,2,   89.0115,2,    4.7131,1,    0.0009,1,      -999,9
     324.0,2,   12.4434,2,    34.839,2,   88.6229,2,    4.7131,1,     0.001,1,      -999,9
     326.0,2,   12.3933,2,   34.8337,2,   88.0255,2,    4.7132,1,     0.001,1,      -999,9
     328.0,2,   12.3591,2,     34.83,2,   87.4334,2,    4.7137,1,    0.0007,1,      -999,9
     330.0,2,   12.3436,2,   34.8279,2,      87.0,2,     4.714,1,    0.0008,1,      -999,9
     332.0,2,   12.3354,2,   34.8263,2,    86.773,2,    4.7141,1,    0.0008,1,      -999,9
     334.0,2,   12.3143,2,   34.8236,2,   86.6064,2,    4.7138,1,     0.001,1,      -999,9
     336.0,2,   12.2767,2,   34.8194,2,   86.3731,2,    4.7141,1,     0.001,1,      -999,9
     338.0,2,   12.2379,2,   34.8151,2,   86.0743,2,    4.7141,1,    0.0009,1,      -999,9
     340.0,2,    12.188,2,   34.8087,2,   85.8089,2,    4.7142,1,     0.001,1,      -999,9
     342.0,2,   12.1469,2,   34.8055,2,   85.6039,2,    4.7139,1,    0.0009,1,      -999,9
     344.0,2,   12.1326,2,   34.8043,2,   85.3003,2,    4.7134,1,     0.001,1,      -999,9
     346.0,2,   12.1186,2,   34.8023,2,   84.9082,2,    4.7143,1,     0.001,1,      -999,9
     348.0,2,   11.9835,2,   34.7886,2,   84.9262,2,    4.7144,1,    0.0011,1,      -999,9
     350.0,2,   11.7927,2,   34.7647,2,   85.0273,2,    4.7145,1,    0.0009,1,      -999,9
     352.0,2,   11.7019,2,   34.7637,2,   84.6446,2,    4.7143,1,    0.0011,1,      -999,9
     354.0,2,   11.5724,2,   34.7569,2,   84.0366,2,    4.7143,1,     0.001,1,      -999,9
     356.0,2,   11.4902,2,   34.7509,2,   83.1087,2,    4.7144,1,     0.001,1,      -999,9
     358.0,2,   11.4279,2,     34.75,2,   82.3649,2,    4.7146,1,     0.001,1,      -999,9
     360.0,2,   11.3892,2,   34.7484,2,   81.7355,2,    4.7146,1,     0.001,1,      -999,9
     362.0,2,   11.3363,2,    34.746,2,    81.023,2,    4.7148,1,    0.0011,1,      -999,9
     364.0,2,   11.2837,2,   34.7425,2,   80.3844,2,    4.7144,1,     0.001,1,      -999,9
     366.0,2,   11.2545,2,   34.7405,2,   79.9795,2,    4.7147,1,     0.001,1,      -999,9
     368.0,2,   11.2192,2,   34.7366,2,   79.7316,2,    4.7148,1,    0.0009,1,      -999,9
     370.0,2,   11.1803,2,   34.7326,2,   79.5446,2,    4.7147,1,    0.0009,1,      -999,9
     372.0,2,   11.1109,2,   34.7265,2,   79.2322,2,    4.7151,1,    0.0011,1,      -999,9
     374.0,2,    11.038,2,   34.7203,2,   78.7475,2,    4.7148,1,     0.001,1,      -999,9
     376.0,2,   10.9484,2,   34.7119,2,   78.4489,2,    4.7147,1,    0.0011,1,      -999,9
     378.0,2,   10.8362,2,   34.7032,2,   78.2478,2,    4.7146,1,     0.001,1,      -999,9
     380.0,2,   10.7523,2,   34.7024,2,   77.6207,2,     4.715,1,    0.0011,1,      -999,9
     382.0,2,   10.6946,2,   34.7014,2,   77.2556,2,    4.7151,1,    0.0013,1,      -999,9
     384.0,2,   10.5993,2,   34.6979,2,   77.4658,2,    4.7154,1,    0.0012,1,      -999,9
     386.0,2,   10.5358,2,   34.6963,2,   77.7787,2,    4.7153,1,    0.0011,1,      -999,9
     388.0,2,   10.3923,2,    34.689,2,    78.205,2,    4.7155,1,    0.0011,1,      -999,9
     390.0,2,   10.3468,2,     34.69,2,   78.4666,2,    4.7154,1,     0.001,1,      -999,9
     392.0,2,   10.3181,2,   34.6917,2,   78.7925,2,    4.7155,1,    0.0011,1,      -999,9
     394.0,2,   10.2153,2,   34.6895,2,   79.4177,2,    4.7153,1,     0.001,1,      -999,9
     396.0,2,   10.1113,2,   34.6853,2,   80.2103,2,    4.7156,1,    0.0011,1,      -999,9
     398.0,2,    9.9995,2,   34.6792,2,   80.8564,2,    4.7156,1,    0.0011,1,      -999,9
     400.0,2,    9.9569,2,   34.6781,2,   81.3429,2,    4.7156,1,     0.001,1,      -999,9
     402.0,2,    9.8631,2,   34.6705,2,   81.9253,2,    4.7152,1,    0.0011,1,      -999,9
     404.0,2,    9.7539,2,   34.6626,2,   82.3925,2,    4.7157,1,    0.0011,1,      -999,9
     406.0,2,    9.7338,2,   34.6604,2,   82.5607,2,    4.7159,1,     0.001,1,      -999,9
