CTD,20201209CCHSIO
# DATE and TIME:  Merged corrected DATE and TIME headers into CTD files
# References:
#     Cruise report available at https://cchdo.ucsd.edu/cruise/33RR20180918
# CCHDO Citation Information
#     Please cite data downloaded from CCHDO as: [Data providers of the parameter(s) used]. [Year of file access]. [CTD/Bottle] data from cruise [expocode], [format version used]. Accessed from CCHDO [url of cruise data page]. Access date [date of download]. [Applicable CCHDO cruise DOI if provided].
#     Information on the scientists who provided the different parameters can be found in the cruise report. Additionally, for US GO-SHIP cruises, this information is usually in the comments section in the text headers of the Exchange bottle files.
#     Users are also encouraged to acknowledge the funding program that supported the data collection in their publication. For US GO-SHIP data this is the NSF/NOAA funded U.S Repeat Hydrography Program.
#     Please see https://cchdo.ucsd.edu/citation or https://cchdo.ucsd.edu for details and examples
# CTD,20200313ODFSIO - Previous Time Stamp. DATE and TIME corrected
# CTD,20190518CCHSIO - Previous Time Stamp. Previous Comments Below
#     SHIP: Roger Revelle
#     Cruise: GEOTRACES, RR1815
#     DATES: 20180918 to 20181125
#     Chief Scientist: Greg Cutter
#     EVENT_CODE = unknown
#     DEPTH_TYPE = unknown
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     STNNBR and CASTNO: removed leading 0s from values to match bottle file.
#     CASTNO: header values for CASTNO were changed to match the file name for the following originator filenames: 00411_ct1.csv,00810_ct1.csv,00812_ct1.csv,00813_ct1.csv,01210_ct1.csv,01212_ct1.csv,01410_ct1.csv,01412_ct1.csv,01413_ct1.csv,01911_ct1.csv,01912_ct1.csv,02111_ct1.csv,02310_ct1.csv,02312_ct1.csv,02313_ct1.csv,02511_ct1.csv,02711_ct1.csv,02910_ct1.csv,02912_ct1.csv,02913_ct1.csv,03111_ct1.csv,03311_ct1.csv,03510_ct1.csv,03512_ct1.csv,03513_ct1.csv,03711_ct1.csv,03910_ct1.csv,03912_ct1.csv
#     Removed erroneous last commas from headers in original file 00702_ct1.csv
#     Original file name: 02105_ct1.csv
#     CTD,20190107ODFSIO - Previous Time Stamp.
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918
SECT_ID = rr1815
STNNBR = 21
CASTNO = 5
DATE = 20181030
TIME = 1203
LATITUDE = 11.000080
LONGITUDE = -152.000440
DEPTH =  5477
INSTRUMENT_ID = 1281
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
       0.0,2,   28.8544,2,    33.472,2,  195.7445,2,    4.6315,1,    0.0184,1,    1.3409,1
       2.0,2,    28.856,2,   33.4714,2,  195.4599,2,    4.6322,1,    0.0185,1,    1.3395,1
       4.0,2,    28.862,2,    33.471,2,  195.4843,2,     4.632,1,    0.0184,1,    1.3379,1
       6.0,2,   28.8606,2,   33.4711,2,  194.9705,2,    4.6323,1,    0.0184,1,    1.3354,1
       8.0,2,   28.8649,2,   33.4709,2,  195.3403,2,    4.6323,1,    0.0183,1,    1.3329,1
      10.0,2,    28.864,2,    33.471,2,  194.9784,2,    4.6324,1,    0.0184,1,    1.3294,1
      12.0,2,   28.8647,2,   33.4709,2,  195.7824,2,    4.6323,1,    0.0184,1,    1.3268,1
      14.0,2,   28.8658,2,    33.471,2,  195.7696,2,    4.6321,1,    0.0184,1,     1.324,1
      16.0,2,   28.8697,2,   33.4709,2,  195.8784,2,    4.6318,1,    0.0185,1,    1.3218,1
      18.0,2,   28.8702,2,   33.4708,2,  195.7614,2,    4.6315,1,    0.0186,1,    1.3199,1
      20.0,2,    28.871,2,   33.4709,2,  196.0444,2,    4.6321,1,    0.0187,1,    1.3174,1
      22.0,2,   28.8681,2,   33.4768,2,  196.1409,2,    4.6319,1,    0.0184,1,    1.3152,1
      24.0,2,   28.8652,2,   33.4866,2,  196.6597,2,    4.6285,1,    0.0184,1,     1.314,1
      26.0,2,     28.84,2,   33.5534,2,  196.1698,2,    4.6312,1,    0.0185,1,    1.3134,1
      28.0,2,    28.527,2,   33.8179,2,  196.9539,2,    4.6213,1,    0.0211,1,    1.3132,1
      30.0,2,   26.9036,2,   34.3912,2,  199.1005,2,    4.6152,1,    0.0238,1,     1.313,1
      32.0,2,   26.6192,2,   34.3997,2,  202.6342,2,    4.6129,1,    0.0242,1,    1.3129,1
      34.0,2,   25.5395,2,   34.5282,2,  202.5291,2,    4.6119,1,    0.0246,1,    1.3131,1
      36.0,2,   24.8322,2,   34.5554,2,  202.2699,2,    4.6088,1,    0.0241,1,    1.3142,1
      38.0,2,   23.5381,2,   34.5798,2,  201.2106,2,    4.6051,1,    0.0269,1,    1.3157,1
      40.0,2,   23.0231,2,   34.6118,2,  197.3559,2,    4.6023,1,    0.0278,1,    1.3176,1
      42.0,2,   22.4314,2,    34.615,2,  196.3967,2,    4.6013,1,    0.0265,1,    1.3222,1
      44.0,2,   21.7932,2,   34.6105,2,   195.294,2,    4.6024,1,    0.0322,1,    1.3258,1
      46.0,2,   21.6865,2,   34.6059,2,  192.6539,2,    4.6014,1,    0.0377,1,    1.3306,1
      48.0,2,   21.5555,2,   34.5953,2,  192.2056,2,    4.6011,1,    0.0398,1,    1.3389,1
      50.0,2,   21.4632,2,   34.5865,2,  192.2905,2,    4.5987,1,     0.039,1,    1.3445,1
      52.0,2,    21.094,2,   34.5629,2,  192.8463,2,    4.5974,1,     0.044,1,    1.3484,1
      54.0,2,   20.9457,2,   34.5716,2,  191.8819,2,    4.5955,1,    0.0488,1,    1.3544,1
      56.0,2,   20.2395,2,    34.589,2,  189.1609,2,     4.594,1,    0.0552,1,    1.3601,1
      58.0,2,   19.7155,2,   34.5821,2,  184.6318,2,    4.5979,1,    0.0564,1,    1.3649,1
